# Absolute STEP slot indices for IFC geometry entities
# Generated from references/ifc-spec/ifc4-add2-tc1/IFC4.exp
# Inherited attributes come FIRST -- this is what positional records use.
# Format: EntityName | index | AttrName | declared-in | type

IfcPolygonalBoundedHalfSpace | 1 | AgreementFlag | IfcHalfSpaceSolid | IfcBoolean
IfcPolygonalBoundedHalfSpace | 2 | Position | IfcPolygonalBoundedHalfSpace | IfcAxis2Placement3D
IfcPolygonalBoundedHalfSpace | 3 | PolygonalBoundary | IfcPolygonalBoundedHalfSpace | IfcBoundedCurve

IfcPolygonalFaceSet | 0 | Coordinates | IfcTessellatedFaceSet | IfcCartesianPointList3D
IfcPolygonalFaceSet | 1 | Closed | IfcPolygonalFaceSet | OPTIONAL IfcBoolean
IfcPolygonalFaceSet | 2 | Faces | IfcPolygonalFaceSet | LIST [1:?] OF IfcIndexedPolygonalFace
IfcPolygonalFaceSet | 3 | PnIndex | IfcPolygonalFaceSet | OPTIONAL LIST [1:?] OF IfcPositiveInteger

IfcPolyline | 0 | Points | IfcPolyline | LIST [2:?] OF IfcCartesianPoint

IfcRationalBSplineCurveWithKnots | 0 | Degree | IfcBSplineCurve | IfcInteger
IfcRationalBSplineCurveWithKnots | 1 | ControlPointsList | IfcBSplineCurve | LIST [2:?] OF IfcCartesianPoint
IfcRationalBSplineCurveWithKnots | 2 | CurveForm | IfcBSplineCurve | IfcBSplineCurveForm
IfcRationalBSplineCurveWithKnots | 3 | ClosedCurve | IfcBSplineCurve | IfcLogical
IfcRationalBSplineCurveWithKnots | 4 | SelfIntersect | IfcBSplineCurve | IfcLogical
IfcRationalBSplineCurveWithKnots | 5 | KnotMultiplicities | IfcBSplineCurveWithKnots | LIST [2:?] OF IfcInteger
IfcRationalBSplineCurveWithKnots | 6 | Knots | IfcBSplineCurveWithKnots | LIST [2:?] OF IfcParameterValue
IfcRationalBSplineCurveWithKnots | 7 | KnotSpec | IfcBSplineCurveWithKnots | IfcKnotType
IfcRationalBSplineCurveWithKnots | 8 | WeightsData | IfcRationalBSplineCurveWithKnots | LIST [2:?] OF IfcReal

IfcRationalBSplineSurfaceWithKnots | 0 | UDegree | IfcBSplineSurface | IfcInteger
IfcRationalBSplineSurfaceWithKnots | 1 | VDegree | IfcBSplineSurface | IfcInteger
IfcRationalBSplineSurfaceWithKnots | 2 | ControlPointsList | IfcBSplineSurface | LIST [2:?] OF LIST [2:?] OF IfcCartesianPoint
IfcRationalBSplineSurfaceWithKnots | 3 | SurfaceForm | IfcBSplineSurface | IfcBSplineSurfaceForm
IfcRationalBSplineSurfaceWithKnots | 4 | UClosed | IfcBSplineSurface | IfcLogical
IfcRationalBSplineSurfaceWithKnots | 5 | VClosed | IfcBSplineSurface | IfcLogical
IfcRationalBSplineSurfaceWithKnots | 6 | SelfIntersect | IfcBSplineSurface | IfcLogical
IfcRationalBSplineSurfaceWithKnots | 7 | UMultiplicities | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcInteger
IfcRationalBSplineSurfaceWithKnots | 8 | VMultiplicities | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcInteger
IfcRationalBSplineSurfaceWithKnots | 9 | UKnots | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcParameterValue
IfcRationalBSplineSurfaceWithKnots | 10 | VKnots | IfcBSplineSurfaceWithKnots | LIST [2:?] OF IfcParameterValue
IfcRationalBSplineSurfaceWithKnots | 11 | KnotSpec | IfcBSplineSurfaceWithKnots | IfcKnotType
IfcRationalBSplineSurfaceWithKnots | 12 | WeightsData | IfcRationalBSplineSurfaceWithKnots | LIST [2:?] OF LIST [2:?] OF IfcReal

IfcRectangularPyramid | 0 | Position | IfcCsgPrimitive3D | IfcAxis2Placement3D
IfcRectangularPyramid | 1 | XLength | IfcRectangularPyramid | IfcPositiveLengthMeasure
IfcRectangularPyramid | 2 | YLength | IfcRectangularPyramid | IfcPositiveLengthMeasure
IfcRectangularPyramid | 3 | Height | IfcRectangularPyramid | IfcPositiveLengthMeasure

IfcRectangularTrimmedSurface | 0 | BasisSurface | IfcRectangularTrimmedSurface | IfcSurface
IfcRectangularTrimmedSurface | 1 | U1 | IfcRectangularTrimmedSurface | IfcParameterValue
IfcRectangularTrimmedSurface | 2 | V1 | IfcRectangularTrimmedSurface | IfcParameterValue
IfcRectangularTrimmedSurface | 3 | U2 | IfcRectangularTrimmedSurface | IfcParameterValue
IfcRectangularTrimmedSurface | 4 | V2 | IfcRectangularTrimmedSurface | IfcParameterValue
IfcRectangularTrimmedSurface | 5 | Usense | IfcRectangularTrimmedSurface | IfcBoolean
IfcRectangularTrimmedSurface | 6 | Vsense | IfcRectangularTrimmedSurface | IfcBoolean

IfcReparametrisedCompositeCurveSegment | 0 | Transition | IfcCompositeCurveSegment | IfcTransitionCode
IfcReparametrisedCompositeCurveSegment | 1 | SameSense | IfcCompositeCurveSegment | IfcBoolean
IfcReparametrisedCompositeCurveSegment | 2 | ParentCurve | IfcCompositeCurveSegment | IfcCurve
IfcReparametrisedCompositeCurveSegment | 3 | ParamLength | IfcReparametrisedCompositeCurveSegment | IfcParameterValue

IfcRepresentationMap | 0 | MappingOrigin | IfcRepresentationMap | IfcAxis2Placement
IfcRepresentationMap | 1 | MappedRepresentation | IfcRepresentationMap | IfcRepresentation

IfcRevolvedAreaSolid | 0 | SweptArea | IfcSweptAreaSolid | IfcProfileDef
IfcRevolvedAreaSolid | 1 | Position | IfcSweptAreaSolid | OPTIONAL IfcAxis2Placement3D
IfcRevolvedAreaSolid | 2 | Axis | IfcRevolvedAreaSolid | IfcAxis1Placement
IfcRevolvedAreaSolid | 3 | Angle | IfcRevolvedAreaSolid | IfcPlaneAngleMeasure

IfcRevolvedAreaSolidTapered | 0 | SweptArea | IfcSweptAreaSolid | IfcProfileDef
IfcRevolvedAreaSolidTapered | 1 | Position | IfcSweptAreaSolid | OPTIONAL IfcAxis2Placement3D
IfcRevolvedAreaSolidTapered | 2 | Axis | IfcRevolvedAreaSolid | IfcAxis1Placement
IfcRevolvedAreaSolidTapered | 3 | Angle | IfcRevolvedAreaSolid | IfcPlaneAngleMeasure
IfcRevolvedAreaSolidTapered | 4 | EndSweptArea | IfcRevolvedAreaSolidTapered | IfcProfileDef

IfcRightCircularCone | 0 | Position | IfcCsgPrimitive3D | IfcAxis2Placement3D
IfcRightCircularCone | 1 | Height | IfcRightCircularCone | IfcPositiveLengthMeasure
IfcRightCircularCone | 2 | BottomRadius | IfcRightCircularCone | IfcPositiveLengthMeasure

IfcRightCircularCylinder | 0 | Position | IfcCsgPrimitive3D | IfcAxis2Placement3D
IfcRightCircularCylinder | 1 | Height | IfcRightCircularCylinder | IfcPositiveLengthMeasure
IfcRightCircularCylinder | 2 | Radius | IfcRightCircularCylinder | IfcPositiveLengthMeasure

IfcSeamCurve | 0 | Curve3D | IfcSurfaceCurve | IfcCurve
IfcSeamCurve | 1 | AssociatedGeometry | IfcSurfaceCurve | LIST [1:2] OF IfcPcurve
IfcSeamCurve | 2 | MasterRepresentation | IfcSurfaceCurve | IfcPreferredSurfaceCurveRepresentation

IfcSectionedSpine | 0 | SpineCurve | IfcSectionedSpine | IfcCompositeCurve
IfcSectionedSpine | 1 | CrossSections | IfcSectionedSpine | LIST [2:?] OF IfcProfileDef
IfcSectionedSpine | 2 | CrossSectionPositions | IfcSectionedSpine | LIST [2:?] OF IfcAxis2Placement3D

IfcShellBasedSurfaceModel | 0 | SbsmBoundary | IfcShellBasedSurfaceModel | SET [1:?] OF IfcShell

IfcSphere | 0 | Position | IfcCsgPrimitive3D | IfcAxis2Placement3D
IfcSphere | 1 | Radius | IfcSphere | IfcPositiveLengthMeasure

IfcSphericalSurface | 0 | Position | IfcElementarySurface | IfcAxis2Placement3D
IfcSphericalSurface | 1 | Radius | IfcSphericalSurface | IfcPositiveLengthMeasure

IfcSurfaceCurve | 0 | Curve3D | IfcSurfaceCurve | IfcCurve
IfcSurfaceCurve | 1 | AssociatedGeometry | IfcSurfaceCurve | LIST [1:2] OF IfcPcurve
IfcSurfaceCurve | 2 | MasterRepresentation | IfcSurfaceCurve | IfcPreferredSurfaceCurveRepresentation

IfcSurfaceCurveSweptAreaSolid | 0 | SweptArea | IfcSweptAreaSolid | IfcProfileDef
IfcSurfaceCurveSweptAreaSolid | 1 | Position | IfcSweptAreaSolid | OPTIONAL IfcAxis2Placement3D
IfcSurfaceCurveSweptAreaSolid | 2 | Directrix | IfcSurfaceCurveSweptAreaSolid | IfcCurve
IfcSurfaceCurveSweptAreaSolid | 3 | StartParam | IfcSurfaceCurveSweptAreaSolid | OPTIONAL IfcParameterValue
IfcSurfaceCurveSweptAreaSolid | 4 | EndParam | IfcSurfaceCurveSweptAreaSolid | OPTIONAL IfcParameterValue
IfcSurfaceCurveSweptAreaSolid | 5 | ReferenceSurface | IfcSurfaceCurveSweptAreaSolid | IfcSurface

IfcSurfaceOfLinearExtrusion | 0 | SweptCurve | IfcSweptSurface | IfcProfileDef
IfcSurfaceOfLinearExtrusion | 1 | Position | IfcSweptSurface | OPTIONAL IfcAxis2Placement3D
IfcSurfaceOfLinearExtrusion | 2 | ExtrudedDirection | IfcSurfaceOfLinearExtrusion | IfcDirection
IfcSurfaceOfLinearExtrusion | 3 | Depth | IfcSurfaceOfLinearExtrusion | IfcLengthMeasure

IfcSurfaceOfRevolution | 0 | SweptCurve | IfcSweptSurface | IfcProfileDef
IfcSurfaceOfRevolution | 1 | Position | IfcSweptSurface | OPTIONAL IfcAxis2Placement3D
IfcSurfaceOfRevolution | 2 | AxisPosition | IfcSurfaceOfRevolution | IfcAxis1Placement

IfcSweptDiskSolid | 0 | Directrix | IfcSweptDiskSolid | IfcCurve
IfcSweptDiskSolid | 1 | Radius | IfcSweptDiskSolid | IfcPositiveLengthMeasure
